model,from_dataset,to_dataset,ndcg_delta_pct,total_energy_delta_pct,ndcg_delta_abs,total_energy_delta_abs,training_energy_delta_abs,prediction_energy_delta_abs,training_energy_delta_pct,prediction_energy_delta_pct,ndcg_gain_per_total_kWh,ndcg_gain_per_training_kWh,ndcg_gain_per_prediction_kWh
als_model,10,25,inf,9.630509096149709,5.4654026892992345e-05,6.337487351595283e-07,1.669783633590771e-06,-1.0360348984312432e-06,94.86308145796573,-21.49257371514558,86.2392678057728,32.73120288971936,-52.75307518670374
als_model,25,50,106.38868571392433,29.955321416621516,5.8145700901189294e-05,2.1610920939530674e-06,1.854087665096348e-06,3.0700442885672063e-07,54.05523086288069,8.112373558649043,26.905702475098707,31.360815346434947,189.39694491614637
als_model,50,75,19.378343447371705,35.27636887531378,2.1858718659656924e-05,3.3073277409551676e-06,3.895390828840115e-06,-5.880630878849491e-07,73.71944384760852,-14.37314536894001,6.6091782767631155,5.611431463519037,-37.17070346699511
als_model,75,100,-65.14730127843923,0.4075218962180216,-8.772634380814797e-05,5.168520511032634e-08,-1.0945631436046345e-06,1.1462483487149612e-06,-11.924039411191211,32.71874446068832,-1697.3202219259622,80.14735771135692,-76.53345272557769
item_knn_model,10,25,inf,116.69098184231692,0.0003057329064518646,0.00012694012890007397,3.702719164740404e-05,8.991293725266991e-05,1751.4727427117664,84.29146190288851,2.4084811406843185,8.256983391104667,3.400321642175982
lightfm_model,10,25,inf,11.047345128344311,0.001409771340448862,3.4565521077371364e-07,2.4631673232995205e-07,9.933847844376149e-08,163.02476222549012,3.336011818436879,4078.547918584053,5723.408747402558,14191.593857026672
lightfm_model,25,50,-58.23978612106935,31.097297359899922,-0.0008210478134735497,1.0804782100705727e-06,4.123954277646549e-07,6.680827823059178e-07,103.77120644250274,21.711441560223488,-759.8929861065149,-1990.9236577232466,-1228.9611934611848
lightfm_model,50,75,54.33860030378261,18.81359885836624,0.00031990412421744675,8.56956909553325e-07,5.687759091673124e-07,2.8818100038601214e-07,70.23626372103413,7.6947111037106275,373.30246206217254,562.4431679706445,1110.0805528086244
lightfm_model,75,100,44.72918415958893,5.372810247037596,0.00040642173542695655,2.907734561811076e-07,5.228101611053709e-07,-2.320367049242631e-07,37.92382625946762,-5.752932631454133,1397.7263976042493,777.3791820871733,-1751.540712317962
lightgcn_model,10,25,479.0400682253174,131.19807735511202,0.0005686190947515764,0.0001344542376736796,0.00013219189318548232,2.2623444881972993e-06,397.87995294001917,3.2665554655135987,4.229090169189124,4.301467215948941,251.34063256859184
lightgcn_model,25,50,-11.060106215616738,146.37797218702926,-7.601818806728913e-05,0.00034682226376248163,0.00034611921747723813,7.030462852434838e-07,209.2417332647531,0.9830045494724216,-0.2191848563659384,-0.21963007030168247,-108.12686115105778
lightgcn_model,50,75,41.239282829116554,73.48744619632745,0.0002520959836204925,0.0004289891160988498,0.0004266011935772663,2.387922521583595e-06,83.39625779096265,3.3063098688358883,0.5876512344019545,0.5909406429610299,105.57125758557291
lightgcn_model,75,100,60.23152927472108,55.81206639853655,0.000520036966386046,0.0005652352978937215,0.0005779917675627208,-1.2756469668999274e-05,61.61063430319997,-17.09727802195359,0.9200362545012646,0.8997307497629959,-40.76652709407823
most_popular_model,10,25,17.953307854756705,-3.3546734185061156,0.00025260170523358277,-3.744030725099561e-08,7.613079548578551e-09,-4.5053386799574006e-08,22.698200811432233,-4.161884595068999,-6746.785050137793,33179.96398458051,-5606.719564886766
most_popular_model,25,50,-37.345970628723,80.568296125106,-0.0006197915856919905,8.690288487592319e-07,1.9294219225079776e-08,8.497346295341519e-07,46.88350591479229,81.90447714960737,-713.2002425200344,-32123.175261030956,-729.3942886990229
most_popular_model,50,75,-24.417593497288394,59.81450978323322,-0.0002538947907071782,1.1649789075208542e-06,2.9548592869600206e-08,1.135430314651254e-06,48.88286433949158,60.16465373753002,-217.93938848857076,-8592.44945529663,-223.61107276333524
most_popular_model,75,100,69.56316902553698,69.07724371361698,0.000546702430937729,2.1501201130453095e-06,4.588877410560882e-08,2.1042313389397005e-06,50.98959729707839,69.61578771244612,254.26599547660172,11913.642096420866,259.810991700754
multivae_model,10,25,64.8725063294987,214.579500309383,0.00044489124382645045,0.0008089289740075855,0.0007786338095357899,3.0295164471795565e-05,319.5940175027974,22.718332044256286,0.5499756568520175,0.5713741663641451,14.685222925283632
multivae_model,25,50,-52.35494623737753,99.91732843926397,-0.0005919692381266112,0.0011849319049484673,0.001075192625508924,0.00010973927943954334,105.1773860295591,67.05880169826864,-0.49958080768561636,-0.5505704039277732,-5.394324084775261
multivae_model,50,75,23.504493712796638,33.48565023766634,0.00012662228409894886,0.0007938926038985224,0.000787950514443123,5.942089455399243e-06,37.566916273470575,2.173519335654328,0.15949548273551378,0.16069826946992735,21.309387051366972
multivae_model,75,100,35.70927264310237,23.640834334437887,0.00023758718194412907,0.0007481701901596318,0.0006432841713618059,0.00010488601879782603,22.294383460026456,37.54944918212237,0.31755766945678066,0.3693347240942784,2.2651940141048956
ncf_model,10,25,inf,35.47212424065458,0.00015225904960652057,6.832931339225548e-05,7.188893125497168e-05,-3.559617862716215e-06,605.1857073761804,-1.969366619135282,2.228312301814784,2.1179762579373533,-42.773987399405065
ncf_model,25,50,-34.52879775266484,71.8153595370719,-5.2573219298765114e-05,0.0001874075743876891,0.00018142599431476754,5.9815800729215635e-06,216.58214273537433,3.375804649924352,-0.2805287858323547,-0.2897777658451329,-8.78918591038554
ncf_model,50,75,95.95012470807012,42.617191910086014,9.564867849656651e-05,0.00019108060867439067,0.0002102059062067716,-1.9125297532380966e-05,79.26503107820278,-10.441206460384178,0.5005671646124796,0.4550237442066947,-5.001160287029475
ncf_model,75,100,24.84425629022016,40.61707398254659,4.8529405990588407e-05,0.0002597241304227723,0.00025549385006502046,4.230280357751939e-06,53.74296093525057,2.578715314719404,0.18684981603978604,0.18994353867319386,11.471912470685032
