dataset_size,model,ndcg_at_10,total_energy_kWh,training_energy_kWh,prediction_energy_kWh,pct_change_ndcg_at_10,delta_ndcg_at_10,pct_change_total_energy_kWh,delta_total_energy_kWh,pct_change_training_energy_kWh,delta_training_energy_kWh,pct_change_prediction_energy_kWh,delta_prediction_energy_kWh,ndcg_per_total_kWh,ndcg_per_training_kWh,ndcg_per_prediction_kWh,training_share,prediction_share
10,als_model,0.0,7.094943999479652e-06,3.055525175887822e-06,4.03941882359183e-06,,,,,,,,,0.0,0.0,0.0,0.4306623387178132,0.5693376612821869
25,als_model,9.10616587558787e-05,9.227417747251401e-06,5.481760263068617e-06,3.7456574841827837e-06,inf,9.10616587558787e-05,30.05624495314052,2.1324737477717487e-06,79.40484687630895,2.4262350871807946e-06,-7.272366452653101,-2.937613394090467e-07,9.86859609591248,16.611755054188304,24.311261544979804,0.5940730563219039,0.40592694367809606
50,als_model,0.0,1.0932302754059164e-05,7.4243735897862704e-06,3.507929164272894e-06,-100.0,-9.10616587558787e-05,18.476295898878135,1.7048850068077632e-06,35.43776512455881,1.942613326717654e-06,-6.346771452375776,-2.3772831990988977e-07,0.0,0.0,0.0,0.679122574338659,0.3208774256613411
75,als_model,0.00010802434332532785,1.2702624100826799e-05,8.803342759313538e-06,3.89928134151326e-06,inf,0.00010802434332532785,16.193489940720074,1.7703213467676346e-06,18.57354230428705,1.378969169527268e-06,11.156216642746353,3.9135217724036575e-07,8.504096670726222,12.270832373423492,27.70365456199809,0.6930333991966698,0.3069666008033301
100,als_model,3.913383218168419e-05,1.3272256908325057e-05,9.73460701231435e-06,3.5376498960107065e-06,-63.77313577937881,-6.889051114364366e-05,4.48437112660196,5.696328074982584e-07,10.578529979598672,9.31264253000812e-07,-9.27431015691237,-3.616314455025532e-07,2.9485439026679323,4.020073140310606,11.062098662112989,0.7334552879403874,0.2665447120596126
10,item_knn_model,0.0,0.00014336411876153733,3.663393704661233e-06,0.0001397007250568761,,,,,,,,,0.0,0.0,0.0,0.025553072388738263,0.9744469276112617
25,item_knn_model,0.0002619824556129345,0.00025940046047401327,3.6652114466670836e-05,0.00022274834600734242,inf,0.0002619824556129345,80.93820316747689,0.00011603634171247594,900.4961907325271,3.29887207620096e-05,59.44680739248511,8.304762095046633e-05,1.00995370298959,7.147812873147199,1.176136480063016,0.14129548729287103,0.8587045127071289
10,lightfm_model,0.00044583147570218456,4.379111076023053e-06,1.659513310811902e-07,4.213159744941863e-06,,,,,,,,,101.80867029001517,2686.5194319174548,105.81879223483764,0.037896122797574955,0.9621038772024251
25,lightfm_model,0.0013107111104810362,3.7210349936392463e-06,5.406191016369162e-07,3.1804158920023303e-06,193.99250208089646,0.0008648796347788517,-15.027617956232497,-6.580760823838067e-07,225.76966880273056,3.7466777055572595e-07,-24.51233552630897,-1.0327438529395325e-06,352.24369368242213,2424.4631876905446,412.1194067030765,0.1452872930679375,0.8547127069320626
50,lightfm_model,0.0005894267540272984,7.638061370828663e-06,1.5031127618359346e-06,6.134948608992729e-06,-55.03000246858544,-0.0007212843564537378,105.26712013956332,3.917026377189417e-06,178.035451815285,9.624936601990184e-07,92.89768436952062,2.9545327169903987e-06,77.16968029066133,392.1374157633787,96.07688533255275,0.196792443639774,0.803207556360226
75,lightfm_model,0.000890350841270695,5.1747630188296665e-06,1.5969127586134223e-06,3.577850260216244e-06,51.05368651614679,0.0003009240872433966,-32.2503084540122,-2.463298351998997e-06,6.240383233984281,9.379999677748778e-08,-41.68084383018693,-2.557098348776485e-06,172.0563507992407,557.5450734351791,248.85078371526998,0.3085963072710106,0.6914036927289894
100,lightfm_model,0.0012121879274222468,5.679286040678805e-06,1.878367862491351e-06,3.8009181781874535e-06,36.14722098675518,0.0003218370861515519,9.749683608955717,5.045230218491382e-07,17.62495179275243,2.8145510387792874e-07,6.234691274020143,2.2306791797120926e-07,213.44019630984508,645.3410706327118,318.9197637504272,0.330740140404487,0.6692598595955129
10,lightgcn_model,0.0004941715482935251,0.00010895279613771952,4.950827706942608e-05,5.9444519068293436e-05,,,,,,,,,4.535648150497008,9.98159454429291,8.313155797017908,0.4544011610940776,0.5455988389059224
25,lightgcn_model,0.0006155494102655406,0.0002748663185374136,0.0002332121228874284,4.165419564998522e-05,24.56188794987446,0.00012137786197201545,152.28018764197157,0.00016591352239969407,371.0568347195603,0.00018370384581800232,-29.927609302162285,-1.7790323418308218e-05,2.239450120847581,2.639440019859802,14.77760884972842,0.8484565301720829,0.15154346982791722
50,lightgcn_model,0.0006133620756995106,0.0008690580265991767,0.0007936844464011649,7.537358019801177e-05,-0.35534670808740065,-2.1873345660300024e-06,216.1747977065747,0.0005941917080617631,240.3272679715182,0.0005604723235137364,80.9507518314989,3.371938454802655e-05,0.7057780457994698,0.7728034466099251,8.137626925617234,0.9132697956971114,0.08673020430288858
75,lightgcn_model,0.0007944558368273419,0.0015489102628131013,0.001490082862663176,5.8827400149925406e-05,29.524773099364253,0.00018109376112783134,78.22863553476887,0.0006798522362139246,87.74247995153719,0.0006963984162620111,-21.952227829192093,-1.6546180048086365e-05,0.5129127593127741,0.5331621863011278,13.504860571818918,0.9620201366326515,0.037979863367348474
100,lightgcn_model,0.0013489792716644715,0.00223825773512891,0.0021915062450357002,4.675149009320985e-05,69.79915171265125,0.0005545234348371295,44.50532021550615,0.0006893474723158087,47.07277695408787,0.0007014233823725243,-20.527696321678878,-1.2075910056715556e-05,0.6026916607915926,0.6155489060185161,28.854251896035205,0.9791125528756334,0.02088744712436669
10,most_popular_model,9.737290986097378e-05,1.1177768408757122e-06,3.327222001837476e-08,1.0845046208573375e-06,,,,,,,,,87.11301424413826,2926.5528361858355,89.785610857054,0.02976642456852831,0.9702335754314718
25,most_popular_model,8.441417795789994e-05,1.44828750147868e-06,5.674681104342866e-08,1.3915406904352512e-06,-13.308354368351461,-1.295873190307384e-05,29.56857294914361,3.305106606029678e-07,70.55312513589396,2.34745910250539e-08,28.31118131476391,3.070360695779137e-07,58.28551159332268,1487.5580919128176,60.66238561194827,0.03918200701552075,0.9608179929844792
50,most_popular_model,8.501559425024561e-06,2.4990065519978788e-06,1.2218932675166313e-07,2.3768172252462155e-06,-89.92875411371706,-7.591261853287538e-05,72.5490656686901,1.0507190505191988e-06,115.32368868825236,6.544251570823448e-08,70.80472325266938,9.852765348109643e-07,3.4019756443726914,69.57693974616195,3.576867137583068,0.04889516062051799,0.951104839379482
75,most_popular_model,2.7642215593750742e-05,1.7888932247683261e-06,1.006528154307897e-07,1.6882404093375364e-06,225.1428851086444,1.9140656168726182e-05,-28.415824946990988,-7.101133272295526e-07,-17.6255258077034,-2.153651132087342e-08,-28.97054130181799,-6.885768159086791e-07,15.452132755061777,274.62933327243013,16.373388198069204,0.056265412623397314,0.9437345873766027
100,most_popular_model,4.7725250489240476e-06,2.0307716500667157e-06,1.028530220586399e-07,1.9279186280080756e-06,-82.73465079983312,-2.2869690544826694e-05,13.521121436955209,2.4187842529838953e-07,2.185936497089913,2.200206627850188e-09,14.196924640880294,2.396782186705392e-07,2.3501042319392527,46.401408081165314,2.475480541341632,0.05064726113113748,0.9493527388688624
10,multivae_model,0.00044583147570218456,0.0004130118416261591,0.00026060712892870305,0.00015240471269745604,,,,,,,,,1.0794641479208056,1.7107416728579026,2.925312923801906,0.6309919054683997,0.3690080945316003
25,multivae_model,0.0007631375650795743,0.0012246008613525617,0.0010583480953005968,0.00016625276605196492,71.17175584734852,0.0003173060893773897,196.50502429444114,0.0008115890197264026,306.1086508459022,0.0007977409663718938,9.0863682030615,1.3848053354508888e-05,0.623172487594607,0.7210648070026757,4.590224771604964,0.8642392216935565,0.13576077830644354
50,multivae_model,0.0005099393042994107,0.002490918048660537,0.0022099429139841318,0.0002809751346764051,-33.178586976485946,-0.0002531982607801636,103.40652430289312,0.0012663171873079752,108.8105911275301,0.001151594818683535,69.00478791948754,0.00011472236862444018,0.20471942245294855,0.2307477270442617,1.8148912176399532,0.887200169099302,0.11279983090069796
75,multivae_model,0.0006653375002025463,0.003164736826017022,0.0028854091099455885,0.0002793277160714336,30.473861220921616,0.00015539819590313557,27.051021518705664,0.0006738187773564852,30.56487077956742,0.0006754661959614567,-0.5863218490379296,-1.6474186049715068e-06,0.21023470094981211,0.2305868855508995,2.381924391750645,0.9117374583013964,0.08826254169860352
100,multivae_model,0.0008380503494531885,0.003867770082449472,0.003523980533367479,0.00034378954908199314,25.958682502949838,0.00017271284925064224,22.214588292235725,0.00070303325643245,22.131053139772348,0.0006385714234218905,23.077492601584314,6.446183301055954e-05,0.21667532753716537,0.23781355813914112,2.437684192817959,0.9111142746974582,0.08888572530254178
10,ncf_model,0.00012887419809089963,0.00020168336151148028,1.4067162908412906e-05,0.00018761619860306738,,,,,,,,,0.6389927117689568,9.161349657351735,0.6869033646905616,0.06974875271310951,0.9302512472868906
25,ncf_model,8.017663791170706e-05,0.0002870173006438386,8.294156173516652e-05,0.00020407573890867206,-37.78689675713398,-4.869756017919257e-05,42.31084730680716,8.53339391323583e-05,489.61115524981295,6.887439882675362e-05,8.772984650663096,1.6459540305604673e-05,0.27934426855752054,0.9666641938538859,0.3928768717950726,0.28897756877063374,0.7110224312293663
50,ncf_model,0.00014508721144285578,0.0005490189699690507,0.0003112734533871189,0.00023774551658193178,80.95946053840548,6.491057353114872e-05,91.28427754615791,0.0002620016693252121,275.2924913338611,0.00022833189165195238,16.49866753065028,3.3669777673259725e-05,0.2642662993066244,0.46610852889666876,0.6102626603806254,0.5669630202480362,0.4330369797519637
75,ncf_model,0.00014885213624475337,0.00067250552110629,0.0005009363769845317,0.0001715691441217583,2.5949391158988977,3.7649248018975913e-06,22.492219375261378,0.00012348655113723927,60.93128775794969,0.0001896629235974128,-27.834961269340187,-6.617637246017347e-05,0.22133964937549885,0.29714778779052364,0.8675926956837691,0.7448806905859712,0.2551193094140289
100,ncf_model,0.0002989018704374767,0.0008937055687537431,0.0007299058872327661,0.00016379968152097698,100.80455543211069,0.00015004973419272335,32.891930356731194,0.0002212000476474531,45.70830164631958,0.00022896951024823438,-4.528473135744937,-7.76946260078133e-06,0.33445228595172594,0.4095074113878976,1.8248012918095808,0.8167185175433194,0.18328148245668066
10,random_model,0.00037914643144158994,2.5151095740697443e-07,5.299128477393727e-10,2.5098104455923504e-07,,,,,,,,,1507.4748048773329,715488.2789859545,1510.6576359479054,0.002106917540303865,0.9978930824596961
25,random_model,2.2601331515514495e-05,3.283002682647861e-07,6.874315948379162e-10,3.276128366699482e-07,-94.03889114040194,-0.00035654509992607544,30.531198978165186,7.678931085781168e-08,29.725406313608758,1.5751874709854344e-10,30.532900301411804,7.663179211071314e-08,68.84347562361936,32877.93532510457,68.98793022046351,0.002093911157829081,0.9979060888421709
50,random_model,9.46463947773847e-06,3.5329495395133804e-07,1.0879106329230128e-09,3.52207043318415e-07,-58.12353147759659,-1.3136692037776025e-05,7.613361334932822,2.499468568655193e-08,58.25729295720286,4.0047903808509664e-10,7.507094929019553,2.459420664846682e-08,26.789625416054218,8699.831761280566,26.872374239211062,0.0030793268365583814,0.9969206731634416
75,random_model,7.852028367633687e-05,2.813263837174907e-07,2.3549179561313296e-09,2.7897146576135936e-07,729.6172702723899,6.90556441985984e-05,-20.370675954732175,-7.196857023384735e-08,116.46244506353472,1.2670073232083168e-09,-20.79333135051662,-7.323557755705565e-08,279.1074290251686,33343.10797193562,281.4634947056037,0.008370768233725812,0.9916292317662742
