model,from_dataset,to_dataset,ndcg_delta_pct,total_energy_delta_pct,ndcg_delta_abs,total_energy_delta_abs,training_energy_delta_abs,prediction_energy_delta_abs,training_energy_delta_pct,prediction_energy_delta_pct
als_model,10,25,inf,30.05624495314052,9.10616587558787e-05,2.1324737477717487e-06,2.4262350871807946e-06,-2.937613394090467e-07,79.40484687630895,-7.272366452653101
als_model,25,50,-100.0,18.476295898878135,-9.10616587558787e-05,1.7048850068077632e-06,1.942613326717654e-06,-2.3772831990988977e-07,35.43776512455881,-6.346771452375776
als_model,50,75,inf,16.193489940720074,0.00010802434332532785,1.7703213467676346e-06,1.378969169527268e-06,3.9135217724036575e-07,18.57354230428705,11.156216642746353
als_model,75,100,-63.77313577937881,4.48437112660196,-6.889051114364366e-05,5.696328074982584e-07,9.31264253000812e-07,-3.616314455025532e-07,10.578529979598672,-9.27431015691237
item_knn_model,10,25,inf,80.93820316747689,0.0002619824556129345,0.00011603634171247594,3.29887207620096e-05,8.304762095046633e-05,900.4961907325271,59.44680739248511
lightfm_model,10,25,193.99250208089646,-15.027617956232497,0.0008648796347788517,-6.580760823838067e-07,3.7466777055572595e-07,-1.0327438529395325e-06,225.76966880273056,-24.51233552630897
lightfm_model,25,50,-55.03000246858544,105.26712013956332,-0.0007212843564537378,3.917026377189417e-06,9.624936601990184e-07,2.9545327169903987e-06,178.035451815285,92.89768436952062
lightfm_model,50,75,51.05368651614679,-32.2503084540122,0.0003009240872433966,-2.463298351998997e-06,9.379999677748778e-08,-2.557098348776485e-06,6.240383233984281,-41.68084383018693
lightfm_model,75,100,36.14722098675518,9.749683608955717,0.0003218370861515519,5.045230218491382e-07,2.8145510387792874e-07,2.2306791797120926e-07,17.62495179275243,6.234691274020143
lightgcn_model,10,25,24.56188794987446,152.28018764197157,0.00012137786197201545,0.00016591352239969407,0.00018370384581800232,-1.7790323418308218e-05,371.0568347195603,-29.927609302162285
lightgcn_model,25,50,-0.35534670808740065,216.1747977065747,-2.1873345660300024e-06,0.0005941917080617631,0.0005604723235137364,3.371938454802655e-05,240.3272679715182,80.9507518314989
